country	code	year	arrivals	rec_exports	rec_cusd	rec_ptransi	rec_traveli	transport	travel	comserexp	gni_pc	inflation	gdp_deflator
Afghanistan	AFG	YR1960	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1961	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1962	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1963	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1964	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1965	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1966	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1967	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1968	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1969	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1970	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1971	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1972	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1973	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1974	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1975	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1976	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1977	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1978	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1979	.	.	.	.	.	.	12.323943661972	56800000.000000000000	.	.	.
Afghanistan	AFG	YR1980	.	.	.	.	.	.	33.333333333333	3000000.000000000000	.	.	.
Afghanistan	AFG	YR1981	.	.	.	.	.	.	56.790123456790	8100000.000000000000	.	.	.
Afghanistan	AFG	YR1982	.	.	.	.	.	.	33.333333333333	4500000.000000000000	.	.	.
Afghanistan	AFG	YR1983	.	.	.	.	.	.	26.666666666667	6000000.000000000000	.	.	.
Afghanistan	AFG	YR1984	.	.	.	.	.	.	6.557377049180	12200000.000000000000	.	.	.
Afghanistan	AFG	YR1985	.	.	.	.	.	.	4.093567251462	17100000.000000000000	.	.	.
Afghanistan	AFG	YR1986	.	.	.	.	.	.	.	700000.000000000000	.	.	.
Afghanistan	AFG	YR1987	.	.	.	.	.	.	.	2000000.000000000000	.	.	.
Afghanistan	AFG	YR1988	.	.	.	.	.	.	.	300000.000000000000	.	.	.
Afghanistan	AFG	YR1989	.	.	.	.	.	.	.	700000.000000000000	.	.	.
Afghanistan	AFG	YR1990	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1991	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1992	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1993	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1994	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1995	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1996	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1997	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1998	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR1999	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR2000	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR2001	.	.	.	.	.	.	.	.	.	.	.
Afghanistan	AFG	YR2002	.	.	.	.	.	.	.	.	.	.	99.999674945437
Afghanistan	AFG	YR2003	.	.	.	.	.	.	.	.	.	3.845357170373	103.845019616301
Afghanistan	AFG	YR2004	.	.	.	.	.	.	.	.	.	6.780487555727	110.886218248627
Afghanistan	AFG	YR2005	.	.	.	.	.	.	.	.	.	8.405297637258	120.206534931123
Afghanistan	AFG	YR2006	.	.	.	.	.	.	.	.	.	8.304494692106	130.189080244042
Afghanistan	AFG	YR2007	.	.	.	.	.	.	.	.	.	6.757463097702	138.986559298771
Afghanistan	AFG	YR2008	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1960	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1961	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1962	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1963	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1964	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1965	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1966	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1967	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1968	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1969	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1970	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1971	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1972	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1973	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1974	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1975	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1976	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1977	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1978	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1979	.	.	.	.	.	.	.	.	.	.	.
Albania	ALB	YR1980	.	.	.	.	.	42.110091743119	6.422018348624	10900000.000000000000	.	.	5.370174644844
Albania	ALB	YR1981	.	.	.	.	.	42.750000000000	8.333333333333	12000000.000000000000	.	-2.177360104291	5.253246604596
Albania	ALB	YR1982	.	.	.	.	.	42.272727272727	3.787878787879	13200000.000000000000	.	-0.017694487554	5.252317069530
Albania	ALB	YR1983	.	.	.	.	.	40.846153846154	3.846153846154	13000000.000000000000	.	-0.016747058578	5.251437460913
Albania	ALB	YR1984	.	.	.	.	.	42.077922077922	3.896103896104	15400000.000000000000	.	-0.028354135110	5.249948461240
Albania	ALB	YR1985	.	.	.	.	.	49.200000000000	4.000000000000	15000000.000000000000	.	0.351197093230	5.268386127632
Albania	ALB	YR1986	.	.	.	.	.	38.250000000000	6.875000000000	16000000.000000000000	690.000000000000	-2.378000686688	5.143103869340
Albania	ALB	YR1987	.	.	.	.	.	30.672645739910	8.968609865471	22300000.000000000000	680.000000000000	0.000028259267	5.143105322743
Albania	ALB	YR1988	.	.	.	.	.	22.195945945946	10.135135135135	29600000.000000000000	670.000000000000	0.000001563057	5.143105403133
Albania	ALB	YR1989	.	.	.	.	.	19.701492537313	8.208955223881	40200000.000000000000	720.000000000000	-0.000001696763	5.143105315867
Albania	ALB	YR1990	.	.	.	.	.	20.000000000000	11.111111111111	31500000.000000000000	640.000000000000	-0.468707661878	5.118999187193
Albania	ALB	YR1991	.	.	.	.	.	17.608695652174	1.086956521739	9200000.000000000000	410.000000000000	34.540116629077	6.887107476691
Albania	ALB	YR1992	.	.	.	.	.	15.873015873016	63.492063492064	18900000.000000000000	290.000000000000	249.682690877238	24.083022748100
Albania	ALB	YR1993	.	.	.	.	.	11.980874316940	77.732240437159	73200000.000000000000	320.000000000000	114.835650220549	51.738918513643
Albania	ALB	YR1994	.	.	.	.	.	14.732824427481	74.300254452926	78600000.000000000000	410.000000000000	37.024733849322	70.895115389837
